Page,Visitors,Total
"iOS",11263,33679
"Windows",5577,19709
"Android",3224,8061
"Mac",2680,10928
"GNU/Linux",610,1426
"Chrome OS",74,223
"Fedora",1,1
"Tizen",1,3
